Survey ResponseID,Recency,Frequency,Monetary,AveragePurchaseValue,CustomerLifespan,MeanDaysBetweenPurchases,LogFutureCLV
R_01vNIayewjIIKMF,2,130,4502.83,34.63715384615384,1123,8.638461538461538,6.0359119618432775
R_037XK72IZBJyF69,3,962,13754.37,14.297681912681913,1443,1.5,8.252320984688975
R_038ZU6kfQ5f89fH,40,64,3914.0,61.15625,1109,17.328125,5.812756453883862
R_03aEbghUILs9NxD,3,147,3333.72,22.678367346938774,1448,9.850340136054422,6.133246187649421
R_06RZP9pS7kONINr,3,328,8254.94,25.1675,1438,4.384146341463414,7.9962364204507885
R_06d9ULxrBmkwSTn,88,123,2041.08,16.594146341463414,1337,10.869918699186991,7.236252945933693
R_085qq7w0pkhowox,5,208,5881.75,28.27764423076923,965,4.639423076923077,7.51887319664035
R_08tF4u5YMrmEJ4l,109,3,47.87,15.956666666666665,973,324.3333333333333,3.826682958261131
R_08uYA7fb4unHGkF,17,54,2872.38,53.19222222222223,955,17.685185185185187,7.861931217232647
R_0AjvU74YOfIrIpX,2,144,2424.16,16.834444444444443,1455,10.104166666666666,5.320519074531723
R_0Arj0ePpTnReV1v,32,106,2164.85,20.423113207547168,1443,13.61320754716981,6.723026827940738
R_0BCm9hRP9iTI081,0,917,23455.579999999998,25.578604143947654,1459,1.5910577971646673,8.817628099676671
R_0BrMxYYMHVMOBEJ,383,19,540.34,28.438947368421054,1419,74.6842105263158,3.5496173867804286
R_0D6GtQwa6VcnXpv,21,284,6259.33,22.03989436619718,1455,5.123239436619718,7.390872547373256
R_0D6LkYgiPcEN117,290,41,1539.8,37.55609756097561,1283,31.29268292682927,5.941985395641304
R_0DoXqOQl0hxEeFH,0,915,18637.39,20.368732240437158,1446,1.580327868852459,9.033723711273232
R_0HStFOjenTsm8H7,12,12,420.55,35.045833333333334,553,46.083333333333336,5.520780686557382
R_0HuDEBXZ3BxNi0h,38,30,507.31,16.910333333333334,1250,41.666666666666664,3.2902658209548736
R_0Hzrb8hEmXavTk5,2,628,15664.26,24.943089171974524,1437,2.288216560509554,8.435282239661019
R_0IBgnbXoP4Uvvhv,42,434,5314.46,12.245299539170507,1450,3.3410138248847927,7.882382841201803
R_0IilpPYiU01nCzn,11,107,3124.87,29.204392523364486,1429,13.355140186915888,7.794036186919753
R_0InTWTWokrqzy3n,9,228,4486.2699999999995,19.67662280701754,1435,6.293859649122807,7.412661417112033
R_0MwMIcbYO11SOwV,11,425,13742.53,32.335364705882355,1459,3.4329411764705884,7.333584947975492
R_0O3AXCWkBaA1YOZ,182,4,34.05,8.5125,182,45.5,6.73474622591049
R_0PMwN9mAFvSiMiR,205,17,238.42,14.02470588235294,1154,67.88235294117646,4.864144094303128
R_0Sq4gTizoIawAud,23,35,582.34,16.638285714285715,1332,38.05714285714286,6.204476951222733
R_0TXaBMuEhEzmPVD,10,498,3127.39,6.279899598393574,611,1.2269076305220883,7.227589874450326
R_0TjMwrWLbhR338J,66,27,540.1899999999999,20.007037037037033,1399,51.81481481481482,5.62517207407429
R_0USvurXxTDWFvX3,154,14,416.40999999999997,29.743571428571425,262,18.714285714285715,5.152829059799431
R_0UsrHmkw7rRzoeB,18,304,11342.03,37.309309210526315,1454,4.782894736842105,8.096028487055873
R_0c8VclJcriEXQqZ,60,143,5108.849999999999,35.72622377622377,1455,10.174825174825175,6.736017515727827
R_0cS0LOVu2KdO1ix,25,241,4135.35,17.159128630705396,1383,5.738589211618257,7.002183251574271
R_0dNGfZ4GvtFvxu1,5,253,5386.09,21.28889328063241,1455,5.75098814229249,8.13324101191069
R_0dgKWjG8E9DtkfD,31,308,4965.49,16.12172077922078,1240,4.025974025974026,6.098905397368456
R_0e9mwIgnQ7UBcGJ,139,163,2252.33,13.8179754601227,1117,6.852760736196319,5.510076358995608
R_0exEFdj5YTDEgqB,6,209,4061.8,19.434449760765553,1407,6.732057416267943,6.19244428572047
R_0eyuL7xzgnVeTRf,10,92,1999.17,21.730108695652174,1173,12.75,6.500824096712247
R_0f8u2tSB99LkgCt,1,819,15672.98,19.136727716727716,1458,1.7802197802197801,9.428420726917597
R_0icLDXwMGw8dAqd,1,146,4398.11,30.12404109589041,1454,9.95890410958904,7.3758132666943315
R_0ik28Zx98AWSuWd,4,1045,25650.38,24.545818181818184,1460,1.3971291866028708,9.262517175954168
R_0jFt3K3i4558lbj,3,409,12105.66,29.598190709046456,1458,3.56479217603912,7.975516530833131
R_0jQnZy5LLMrxEsN,161,70,1598.03,22.829,714,10.2,5.398388920272252
R_0lEfGfpAptgrc2d,4,139,2494.29,17.94453237410072,1271,9.143884892086332,6.244749255334178
R_0lHgeveolyaJhND,9,392,13543.62,34.55005102040816,1460,3.7244897959183674,7.690505475332831
R_0lebhxAsUG3SsAp,128,44,1559.01,35.43204545454545,1296,29.454545454545453,6.415996717933372
R_0oBzc3D8v94kGiZ,13,184,4926.03,26.77190217391304,814,4.423913043478261,6.282135897214065
R_0pRmRjHkwStzNQJ,0,781,13960.15,17.8747119078105,1454,1.8617157490396927,8.046587781136612
R_0pwPNbvgpZlir2V,17,41,2555.9700000000003,62.340731707317076,1406,34.292682926829265,5.928258471204189
R_0rLOCyUSUep8Gyd,60,53,3149.5099999999998,59.42471698113207,737,13.90566037735849,7.2347397920166525
R_0vmGaO4F0OdvNQd,168,29,1293.82,44.61448275862069,1151,39.689655172413794,6.655375998232743
R_0wCTiXC54rMN0J3,1,542,9846.62,18.16719557195572,1459,2.6918819188191883,9.165080419271302
R_10AYiyZ8qGWd6td,1,67,3154.76,47.08597014925373,1353,20.19402985074627,6.489797460912158
R_10AtO7bUfe8iWYK,8,298,10546.75,35.39177852348993,1440,4.832214765100671,8.045344661387139
R_10CAlrx7dbJty9R,0,1565,31500.53,20.128134185303512,1460,0.9329073482428115,9.572715638163269
R_10GfwNctrOL9e2t,3,342,5941.93,17.37406432748538,1450,4.239766081871345,8.49016109436492
R_10HG4OAAtFluUS1,2,476,10512.72,22.085546218487394,847,1.7794117647058822,8.419152487120623
R_10HuhR86y7hZJYL,10,275,5076.83,18.461199999999998,1408,5.12,7.8940682190610545
R_10JcbruZLDf9fy2,6,171,3234.25,18.91374269005848,1460,8.538011695906432,7.387362644370567
R_10MFxyIhsIDW0nP,3,266,8038.56,30.220150375939852,1441,5.417293233082707,7.449358379579774
R_10N9CD1aLy1NjgE,65,11,211.48,19.225454545454543,1412,128.36363636363637,4.612145799724517
R_10O88fl87fP9wfM,44,41,1582.08,38.58731707317073,1424,34.73170731707317,6.282098508445647
R_10PDLObOugOU8tc,3,81,1698.44,20.968395061728394,1387,17.123456790123456,6.760275631588917
R_10SesRyoFJEe0pe,21,63,1066.83,16.933809523809522,1269,20.142857142857142,6.608904400304153
R_10TA7pCDmelHi5H,4,489,17002.3,34.769529652351736,1413,2.8895705521472395,8.626587360943088
R_10TV1zyi4yCEEkl,2,876,23264.88,26.558082191780823,1447,1.6518264840182648,8.9728785517414
R_10UIzdrJBjoXiRu,6,333,7099.26,21.3190990990991,1457,4.375375375375375,6.9555830754623935
R_10UUe0vuP5GA2RB,32,60,2932.25,48.87083333333333,1364,22.733333333333334,6.455167116304789
R_10UkIUlEKmHGVjy,6,96,1828.3799999999999,19.045624999999998,1454,15.145833333333334,6.053852319542798
R_10Uv2LWb4NJfaPq,0,49,1033.33,21.088367346938774,623,12.714285714285714,7.592431683607525
R_10VEwmndSsl39vM,0,636,11988.62,18.850031446540882,1460,2.2955974842767297,8.246499331993311
R_10VPzfUmqBTJEiC,1,418,7809.08,18.68200956937799,1456,3.4832535885167464,8.76705656742983
R_10YhHZtIc1xIXOM,98,67,1446.29,21.58641791044776,1407,21.0,3.935544200469492
R_10YnFpDzlwQlmrX,16,184,3927.74,21.34641304347826,1456,7.913043478260869,7.809776686564012
R_10ZbjWZfgeB444P,243,34,692.5,20.36764705882353,599,17.61764705882353,6.314453433391908
R_10ZbrhoAZPaSEW1,236,82,1081.27,13.186219512195121,1369,16.695121951219512,4.7534177624482945
R_10qrHohvVyRhmA4,2,624,22915.98,36.72432692307692,1333,2.136217948717949,8.707119095070126
R_10r2RIJOCZFOra8,27,94,2399.72,25.528936170212763,1054,11.212765957446809,7.422116644639255
R_10rsQ6SV3iE7hfu,4,253,5427.14,21.45114624505929,1445,5.711462450592886,7.930087494602711
R_10uU7A3PqkL1i0o,21,402,9008.71,22.409726368159202,1460,3.6318407960199006,8.060738953184199
R_10vz4qJDEgUnMop,137,112,3854.39,34.41419642857143,920,8.214285714285714,6.607595685019244
R_10wSqGFumZGSTmH,22,672,15713.52,23.383214285714285,1457,2.168154761904762,8.22615348842656
R_10xh23ROf2jC9rP,10,37,2465.71,66.6408108108108,917,24.783783783783782,7.2307224455731784
R_111J2YLIGckNIeJ,10,300,5543.05,18.476833333333335,1456,4.8533333333333335,5.989512643382737
R_111Pbqb8YG1rP4o,0,209,2890.32,13.82928229665072,1413,6.760765550239235,6.75255071067612
R_115sFbCaRGwFZzK,283,25,1113.3,44.532,1386,55.44,6.765926702589228
R_117LDoOnJxdPvkb,15,273,6789.67,24.87058608058608,1428,5.230769230769231,7.980376028486562
R_11WUgIV4IWfGoDX,4,584,12090.92,20.703630136986302,1453,2.488013698630137,7.982443659530873
R_11XEE8cl6xnH3oW,12,42,912.74,21.73190476190476,1041,24.785714285714285,5.082893938248965
R_11Y3ZtLQrhccXC7,11,156,4839.56,31.022820512820516,1272,8.153846153846153,5.697630255171003
R_11apGEU5o3Mncee,1,96,1976.3700000000001,20.587187500000002,1449,15.09375,7.982498282699304
R_11cDnfPRwm1hsCd,135,28,295.14,10.540714285714285,841,30.035714285714285,6.12404861616319
R_11cJ3be1pQV32hb,3,117,2207.99,18.8717094017094,1362,11.64102564102564,6.388779869075693
R_11cp7qScmrrE4EF,5,236,3377.2599999999998,14.310423728813559,1240,5.254237288135593,6.609510955158677
R_11gymhOPZz4baOa,5,390,6288.9,16.125384615384615,1441,3.694871794871795,7.774725506081139
R_11hGWSRiBd8HPmC,0,366,3557.68,9.720437158469945,1283,3.5054644808743167,7.7184899205194295
R_11i7d5PEuwRPPSj,12,25,577.12,23.0848,931,37.24,6.662097677785588
R_11iFIT1OyPW9JQ4,241,12,222.49,18.540833333333335,1370,114.16666666666667,4.601061757943548
R_123DkZcbvVjnbzX,19,11,696.75,63.34090909090909,508,46.18181818181818,6.118757772765358
R_1252079aMA9rWUV,13,158,5038.3099999999995,31.88803797468354,1389,8.791139240506329,6.211703885274802
R_128SoytOm4LO2kk,33,140,4699.75,33.56964285714286,1458,10.414285714285715,6.903375702622826
R_128UcvT7YzJpnZv,4,1104,26764.35,24.243070652173913,1456,1.318840579710145,9.312617137761098
R_129jUlsvVcVBDur,0,772,16888.53,21.87633419689119,1445,1.871761658031088,8.885855993000296
R_12AB3KkLYxo0JrO,46,30,349.87,11.662333333333333,1451,48.36666666666667,5.802057950590798
R_12DXU1DfwUF0Aq5,5,85,1546.69,18.19635294117647,1450,17.058823529411764,6.080070485442007
R_12EeuI1AdMnuvET,1,935,29045.97,31.065208556149734,1444,1.544385026737968,8.10201405453337
R_12EhwlBIzVNKK2P,24,97,3471.38,35.78742268041237,1436,14.804123711340207,7.1472130271469005
R_12G93XcmsS5F4Ea,19,69,1783.24,25.844057971014493,1214,17.594202898550726,6.354317865523201
R_12J768g8RrIKrIV,8,44,724.19,16.45886363636364,1159,26.34090909090909,5.557522801007268
R_12KdI9rASwBsy9C,11,228,4522.62,19.836052631578948,1448,6.350877192982456,7.320037100417224
R_12L1tdacu5Cc4GE,0,524,7826.15,14.935400763358778,1266,2.4160305343511452,7.796185485725482
R_12QFQ7lCIls8sRd,0,781,21674.28,27.751959026888603,1447,1.852752880921895,8.859714239890549
R_12Qo1HO9MWmZ5Az,2,566,15166.17,26.79535335689046,1460,2.579505300353357,8.269966966461071
R_12a3hCYZfOXK8ZC,31,42,733.8,17.47142857142857,993,23.642857142857142,6.20498191502756
